Gene	CHR	nSNP
SEPT9	17	18
SERAC1	6	17
SERBP1	1	1
SERF2	15	3
SERGEF	11	17
SERHL2	22	5
SERINC1	6	13
SERINC2	1	26
SERINC3	20	9
SERINC4	15	13
SERINC5	5	3
SERPINA1	14	22
SERPINA10	14	27
SERPINA11	14	9
SERPINA12	14	21
SERPINA3	14	27
SERPINA4	14	15
SERPINA5	14	23
SERPINA6	14	18
SERPINA7	X	15
SERPINA9	14	23
SERPINB1	6	11
SERPINB10	18	25
SERPINB11	18	20
SERPINB12	18	17
SERPINB13	18	9
SERPINB2	18	146
SERPINB3	18	8
SERPINB4	18	3
SERPINB5	18	9
SERPINB6	6	12
SERPINB7	18	12
SERPINB8	18	20
SERPINB9	6	12
SERPINC1	1	12
SERPIND1	22	17
SERPINE1	7	13
SERPINE2	2	7
SERPINE3	13	8
SERPINF1	17	17
SERPINF2	17	14
SERPING1	11	9
SERPINH1	11	7
SERPINI1	3	13
SERPINI2	3	14
SERTAD1	19	4
SERTAD2	2	7
SERTAD3	19	3
SERTAD4	1	14
SERTM1	13	2
SESN1	6	10
SESN2	1	11
SESN3	11	7
SESTD1	2	8
SET	9	1
SETBP1	18	25
SETD1A	16	20
SETD1B	12	12
SETD2	3	44
SETD3	14	13
SETD4	21	18
SETD5	3	22
SETD6	16	9
SETD7	4	5
SETD8	12	2
SETD9	5	11
SETDB1	1	15
SETDB2	13	11
SETMAR	3	17
SETX	9	82
SEZ6	17	25
SEZ6L	22	25
SEZ6L2	16	16
SF1	11	7
SF3A1	22	5
SF3A2	19	1
SF3A3	1	3
SF3B1	2	2
SF3B2	11	7
SF3B3	16	8
SFI1	22	59
SFMBT1	3	14
SFMBT2	10	19
SFN	1	3
SFPQ	1	2
SFR1	10	4
SFRP1	8	4
SFRP2	4	1
SFRP4	7	10
SFRP5	10	13
SFSWAP	12	30
SFT2D1	6	4
SFT2D2	1	4
SFTA2	6	2
SFTA3	14	5
SFTPA1	10	4
SFTPA2	10	2
SFTPB	2	12
SFTPC	8	8
SFTPD	10	13
SFXN1	5	12
SFXN2	10	15
SFXN3	10	8
SFXN4	10	7
SFXN5	2	6
SGCA	17	10
SGCB	4	12
SGCD	5	7
SGCE	7	8
SGCG	13	20
SGCZ	8	8
SGIP1	1	19
SGK1	6	13
SGK110	19	4
SGK196	8	15
SGK2	20	9
SGK3	8	6
SGK494	17	18
SGMS1	10	4
SGMS2	4	10
SGOL1	3	25
SGOL2	2	45
SGPL1	10	15
SGPP1	14	5
SGPP2	2	9
SGSH	17	22
SGSM1	22	32
SGSM2	17	27
SGSM3	22	20
SGTA	19	1
SGTB	5	4
SH2B1	16	9
SH2B2	7	4
SH2B3	12	19
SH2D1A	X	3
SH2D1B	1	5
SH2D2A	1	8
SH2D3A	19	28
SH2D3C	9	20
SH2D4A	8	25
SH2D4B	10	18
SH2D5	1	19
SH2D6	2	10
SH2D7	15	13
SH3BGR	21	14
SH3BGRL	X	2
SH3BGRL2	6	3
SH3BGRL3	1	3
SH3BP1	22	13
SH3BP2	4	17
SH3BP4	2	28
SH3BP5	3	11
SH3BP5L	1	4
SH3D19	4	21
SH3D21	1	12
SH3GL1	19	8
SH3GL2	9	7
SH3GL3	15	3
SH3GLB1	1	3
SH3GLB2	9	10
SH3KBP1	X	7
SH3PXD2A	10	35
SH3PXD2B	5	21
SH3RF1	4	12
SH3RF2	5	32
SH3RF3	2	17
SH3TC1	4	67
SH3TC2	5	63
SH3YL1	2	7
SHANK1	19	22
SHANK2	11	26
SHANK3	22	8
SHARPIN	8	10
SHB	9	7
SHBG	17	12
SHC1	1	129
SHC2	19	18
SHC3	9	6
SHC4	15	20
SHCBP1	16	14
SHCBP1L	1	18
SHD	19	9
SHE	1	6
SHF	15	11
SHH	7	2
SHISA2	13	4
SHISA3	4	6
SHISA4	1	6
SHISA5	3	10
SHISA6	17	5
SHISA9	16	4
SHKBP1	19	15
SHMT1	17	10
SHMT2	12	11
SHOC2	10	5
SHOX	X	2
SHOX2	3	1
SHPK	17	17
SHPRH	6	30
SHQ1	3	15
SHROOM1	5	14
SHROOM2	X	41
SHROOM3	4	62
SHROOM4	X	30
SI	3	67
SIAE	11	27
SIAH1	16	5
SIAH2	3	4
SIAH3	13	4
SIDT1	3	38
SIDT2	11	24
SIGIRR	11	8
SIGLEC1	20	67
SIGLEC10	19	12
SIGLEC11	19	5
SIGLEC12	19	24
SIGLEC14	19	2
SIGLEC15	18	5
SIGLEC5	19	11
SIGLEC6	19	17
SIGLEC7	19	8
SIGLEC8	19	14
SIGLEC9	19	17
SIGLECL1	19	7
SIGMAR1	9	1
SIK1	21	18
SIK2	11	11
SIK3	11	15
SIKE1	1	2
SIL1	5	15
SIM1	6	15
SIM2	21	11
SIN3A	15	8
SIN3B	19	19
SIPA1	11	17
SIPA1L1	14	30
SIPA1L2	1	37
SIPA1L3	19	39
SIRPA	20	5
SIRPB1	20	14
SIRPB2	20	15
SIRPD	20	11
SIRPG	20	15
SIRT1	10	9
SIRT2	19	15
SIRT3	11	15
SIRT4	12	9
SIRT5	6	15
SIRT6	19	7
SIRT7	17	5
SIT1	9	4
SIVA1	14	4
SIX1	14	2
SIX2	2	4
SIX3	2	2
SIX4	14	16
SIX5	19	5
SIX6	14	4
SKA1	18	7
SKA2	17	4
SKA3	13	16
SKAP1	17	11
SKAP2	7	7
SKI	1	173
SKIDA1	10	10
SKIL	3	10
SKIV2L	6	27
SKIV2L2	5	12
SKOR1	15	9
SKP1	5	1
SKP2	5	3
SLA	8	8
SLA2	20	9
SLAIN1	13	6
SLAIN2	4	4
SLAMF1	1	13
SLAMF6	1	6
SLAMF7	1	13
SLAMF8	1	20
SLAMF9	1	10
SLBP	4	4
SLC10A1	14	21
SLC10A2	13	23
SLC10A3	X	3
SLC10A4	4	5
SLC10A5	8	13
SLC10A6	4	12
SLC10A7	4	8
SLC11A1	2	29
SLC11A2	12	14
SLC12A1	15	37
SLC12A2	5	12
SLC12A3	16	50
SLC12A4	16	25
SLC12A5	20	6
SLC12A6	15	16
SLC12A7	5	31
SLC12A8	3	24
SLC12A9	7	15
SLC13A1	7	24
SLC13A2	17	16
SLC13A3	20	20
SLC13A4	7	9
SLC13A5	17	11
SLC14A1	18	21
SLC14A2	18	44
SLC15A1	13	26
SLC15A2	3	23
SLC15A3	11	20
SLC15A4	12	11
SLC15A5	12	15
SLC16A1	1	12
SLC16A10	6	5
SLC16A11	17	8
SLC16A12	10	12
SLC16A13	17	7
SLC16A14	2	7
SLC16A2	X	7
SLC16A3	17	14
SLC16A4	1	15
SLC16A5	17	20
SLC16A6	17	6
SLC16A7	12	13
SLC16A8	22	12
SLC16A9	10	7
SLC17A1	6	21
SLC17A2	6	9
SLC17A3	6	19
SLC17A4	6	17
SLC17A5	6	13
SLC17A6	11	9
SLC17A7	19	1
SLC17A8	12	13
SLC17A9	20	14
SLC18A1	8	38
SLC18A2	10	9
SLC18A3	10	9
SLC18B1	6	28
SLC19A1	21	13
SLC19A2	1	9
SLC19A3	2	16
SLC1A1	9	11
SLC1A2	11	5
SLC1A3	5	10
SLC1A4	2	13
SLC1A5	19	12
SLC1A6	19	7
SLC1A7	1	24
SLC20A1	2	7
SLC20A2	8	12
SLC22A1	6	37
SLC22A10	11	45
SLC22A11	11	14
SLC22A12	11	21
SLC22A13	3	27
SLC22A14	3	35
SLC22A15	1	14
SLC22A16	6	36
SLC22A17	14	8
SLC22A18	11	18
SLC22A18AS	11	9
SLC22A2	6	22
SLC22A20	11	1
SLC22A23	6	6
SLC22A24	11	20
SLC22A25	11	26
SLC22A3	6	13
SLC22A4	5	20
SLC22A5	5	34
SLC22A6	11	12
SLC22A7	6	10
SLC22A8	11	18
SLC22A9	11	29
SLC23A1	5	10
SLC23A2	20	8
SLC23A3	2	7
SLC24A1	15	26
SLC24A2	9	14
SLC24A3	20	12
SLC24A4	14	28
SLC24A5	15	13
SLC24A6	12	16
SLC25A1	22	1
SLC25A10	17	15
SLC25A11	17	1
SLC25A12	2	8
SLC25A13	7	20
SLC25A15	13	10
SLC25A16	10	6
SLC25A17	22	12
SLC25A18	22	8
SLC25A19	17	8
SLC25A2	5	12
SLC25A20	3	7
SLC25A21	14	15
SLC25A22	11	3
SLC25A23	19	8
SLC25A24	1	12
SLC25A25	9	7
SLC25A26	3	5
SLC25A27	6	10
SLC25A28	10	3
SLC25A29	14	4
SLC25A3	12	4
SLC25A30	13	9
SLC25A31	4	8
SLC25A32	8	11
SLC25A33	1	4
SLC25A34	1	13
SLC25A35	17	9
SLC25A36	3	4
SLC25A37	8	1
SLC25A38	3	15
SLC25A39	17	7
SLC25A4	4	1
SLC25A40	7	9
SLC25A41	19	20
SLC25A42	19	5
SLC25A43	X	6
SLC25A44	1	4
SLC25A45	11	12
SLC25A46	5	10
SLC25A47	14	15
SLC25A48	5	7
SLC25A5	X	2
SLC25A51	9	1
SLC25A52	18	3
SLC25A53	X	4
SLC26A1	4	31
SLC26A10	12	27
SLC26A11	17	26
SLC26A2	5	26
SLC26A3	7	27
SLC26A4	7	58
SLC26A5	7	20
SLC26A6	3	19
SLC26A7	8	23
SLC26A8	6	35
SLC26A9	1	27
SLC27A1	19	14
SLC27A2	15	14
SLC27A3	1	42
SLC27A4	9	14
SLC27A5	19	17
SLC27A6	5	27
SLC28A1	15	40
SLC28A2	15	30
SLC28A3	9	33
SLC29A1	6	6
SLC29A2	11	16
SLC29A3	10	26
SLC29A4	7	4
SLC2A1	1	3
SLC2A10	20	17
SLC2A11	22	21
SLC2A12	6	8
SLC2A13	12	10
SLC2A14	12	3
SLC2A2	3	13
SLC2A3	12	5
SLC2A4	17	11
SLC2A4RG	20	7
SLC2A5	1	23
SLC2A6	9	12
SLC2A7	1	24
SLC2A8	9	17
SLC2A9	4	20
SLC30A1	1	1
SLC30A10	1	5
SLC30A2	1	8
SLC30A3	2	7
SLC30A4	15	3
SLC30A5	5	14
SLC30A6	2	13
SLC30A7	1	5
SLC30A8	8	24
SLC30A9	4	10
SLC31A2	9	3
SLC32A1	20	5
SLC33A1	3	8
SLC34A1	5	20
SLC34A2	4	22
SLC34A3	9	25
SLC35A1	6	5
SLC35A2	X	3
SLC35A3	1	3
SLC35A4	5	10
SLC35A5	3	13
SLC35B1	17	6
SLC35B2	6	9
SLC35B3	6	14
SLC35B4	7	8
SLC35C1	11	9
SLC35C2	20	5
SLC35D1	1	9
SLC35D2	9	6
SLC35D3	6	9
SLC35E1	19	5
SLC35E2	1	2
SLC35E2B	1	7
SLC35E3	12	10
SLC35E4	22	7
SLC35F1	6	8
SLC35F2	11	11
SLC35F3	1	4
SLC35F4	14	7
SLC35F5	2	13
SLC35G1	10	9
SLC35G2	3	9
SLC35G3	17	3
SLC35G5	8	4
SLC35G6	17	4
SLC36A1	5	11
SLC36A2	5	23
SLC36A3	5	22
SLC36A4	11	21
SLC37A1	21	13
SLC37A2	11	16
SLC37A3	7	25
SLC37A4	11	3
SLC38A1	12	2
SLC38A10	17	26
SLC38A11	2	13
SLC38A2	12	14
SLC38A4	12	11
SLC38A5	X	3
SLC38A6	14	14
SLC38A7	16	6
SLC38A8	16	25
SLC38A9	5	12
SLC39A1	1	6
SLC39A10	2	9
SLC39A11	17	17
SLC39A12	10	25
SLC39A13	11	8
SLC39A14	8	5
SLC39A2	14	15
SLC39A3	19	7
SLC39A4	8	27
SLC39A5	12	26
SLC39A6	18	13
SLC39A7	6	12
SLC39A8	4	5
SLC39A9	14	5
SLC3A1	2	43
SLC3A2	11	16
SLC40A1	2	10
SLC41A1	1	5
SLC41A2	12	4
SLC41A3	3	18
SLC43A1	11	14
SLC43A2	17	8
SLC43A3	11	10
SLC44A1	9	14
SLC44A2	19	18
SLC44A3	1	29
SLC44A4	6	29
SLC44A5	1	15
SLC45A1	1	12
SLC45A2	5	23
SLC45A3	1	20
SLC45A4	8	25
SLC46A1	17	9
SLC46A2	9	15
SLC46A3	13	15
SLC47A1	17	18
SLC47A2	17	11
SLC4A1	17	21
SLC4A10	2	10
SLC4A11	20	28
SLC4A1AP	2	19
SLC4A2	7	18
SLC4A3	2	25
SLC4A4	4	24
SLC4A5	2	25
SLC4A7	3	23
SLC4A8	12	7
SLC4A9	5	25
SLC50A1	1	5
SLC51A	3	14
SLC51B	15	4
SLC52A1	17	11
SLC52A2	8	9
SLC52A3	20	15
SLC5A1	22	18
SLC5A10	17	7
SLC5A11	16	23
SLC5A12	11	20
SLC5A2	16	13
SLC5A3	21	10
SLC5A4	22	34
SLC5A5	19	12
SLC5A6	2	19
SLC5A7	2	8
SLC5A8	12	21
SLC5A9	1	33
SLC6A1	3	4
SLC6A11	3	18
SLC6A12	12	16
SLC6A13	12	25
SLC6A14	X	6
SLC6A15	12	15
SLC6A16	19	22
SLC6A17	1	15
SLC6A18	5	31
SLC6A19	5	25
SLC6A2	16	13
SLC6A20	3	25
SLC6A3	5	11
SLC6A4	17	15
SLC6A5	11	23
SLC6A6	3	12
SLC6A7	5	12
SLC6A9	1	14
SLC7A1	13	8
SLC7A10	19	13
SLC7A11	4	17
SLC7A13	8	29
SLC7A14	3	25
SLC7A2	8	30
SLC7A3	X	9
SLC7A4	22	25
SLC7A5	16	10
SLC7A6	16	15
SLC7A6OS	16	11
SLC7A7	14	14
SLC7A8	14	18
SLC7A9	19	21
SLC8A1	2	16
SLC8A3	14	27
SLC9A1	1	9
SLC9A2	2	13
SLC9A3	5	20
SLC9A3R1	17	14
SLC9A3R2	16	11
SLC9A4	2	30
SLC9A5	16	12
SLC9A6	X	2
SLC9A7	X	6
SLC9A8	20	16
SLC9A9	3	21
SLC9B1	4	6
SLC9B2	4	19
SLC9C1	3	42
SLC9C2	1	22
SLCO1A2	12	31
SLCO1B1	12	40
SLCO1B3	12	34
SLCO1B7	12	34
SLCO1C1	12	14
SLCO2A1	3	32
SLCO2B1	11	22
SLCO3A1	15	9
SLCO4A1	20	23
SLCO4C1	5	20
SLCO5A1	8	26
SLCO6A1	5	28
SLFN11	17	25
SLFN12	17	17
SLFN12L	17	17
SLFN13	17	28
SLFN14	17	19
SLFN5	17	25
SLFNL1	1	22
SLIRP	14	8
SLIT1	10	21
SLIT2	4	25
SLIT3	5	47
SLITRK1	13	7
SLITRK2	X	4
SLITRK3	3	13
SLITRK4	X	4
SLITRK5	13	15
SLITRK6	13	21
SLK	10	25
SLMAP	3	14
SLMO1	18	2
SLMO2	20	2
SLN	11	2
SLPI	20	5
SLTM	15	11
SLU7	5	13
SLURP1	8	4
SLX4	16	72
SMAD1	4	5
SMAD2	18	1
SMAD3	15	157
SMAD4	18	5
SMAD5	5	3
SMAD6	15	7
SMAD7	18	4
SMAD9	13	14
SMAGP	12	4
SMAP1	6	7
SMAP2	1	8
SMARCA1	X	5
SMARCA2	9	14
SMARCA4	19	8
SMARCA5	4	6
SMARCAD1	4	15
SMARCAL1	2	29
SMARCC1	3	9
SMARCC2	12	12
SMARCD1	12	4
SMARCD2	17	3
SMARCD3	7	3
SMARCE1	17	2
SMC1A	X	2
SMC1B	22	26
SMC2	9	28
SMC3	10	2
SMC4	3	29
SMC5	9	20
SMC6	2	12
SMCHD1	18	17
SMCP	1	3
SMCR7	17	20
SMCR7L	22	9
SMCR8	17	24
SMEK1	14	5
SMEK2	2	12
SMG1	16	20
SMG5	1	22
SMG6	17	43
SMG7	1	20
SMG8	17	20
SMG9	19	10
SMO	7	15
SMOC1	14	12
SMOC2	6	17
SMOX	20	8
SMPD1	11	27
SMPD2	6	15
SMPD3	16	17
SMPD4	2	4
SMPDL3A	6	14
SMPDL3B	1	17
SMR3A	4	4
SMR3B	4	3
SMTN	22	28
SMTNL1	11	7
SMTNL2	17	19
SMU1	9	2
SMUG1	12	6
SMURF1	7	5
SMURF2	17	6
SMYD1	2	21
SMYD2	1	9
SMYD3	1	6
SMYD4	17	39
SMYD5	2	7
SNAI1	20	3
SNAI2	8	2
SNAI3	16	15
SNAP23	15	5
SNAP29	22	7
SNAP47	1	20
SNAP91	6	12
SNAPC1	14	9
SNAPC2	19	14
SNAPC3	9	11
SNAPC4	9	49
SNAPC5	15	6
SNAPIN	1	31
SNCA	4	1
SNCAIP	5	28
SNCB	5	1
SNCG	10	5
SND1	7	14
SNED1	2	25
SNF8	17	3
SNIP1	1	13
SNN	16	1
SNPH	20	13
SNRK	3	6
SNRNP200	2	16
SNRNP25	16	6
SNRNP27	2	2
SNRNP35	12	11
SNRNP40	1	4
SNRNP48	6	14
SNRNP70	19	2
SNRPA	19	1
SNRPA1	15	5
SNRPC	6	1
SNRPN	15	1
SNTA1	20	13
SNTB1	8	17
SNTB2	16	5
SNTG1	8	15
SNTG2	2	30
SNTN	3	5
SNUPN	15	15
SNURF	15	4
SNW1	14	1
SNX1	15	7
SNX10	7	3
SNX11	17	4
SNX13	7	7
SNX14	6	17
SNX15	11	15
SNX16	8	15
SNX17	2	7
SNX18	5	12
SNX19	11	27
SNX2	5	5
SNX20	16	5
SNX21	20	15
SNX22	15	5
SNX24	5	2
SNX25	4	21
SNX27	1	6
SNX29	16	12
SNX3	6	1
SNX30	9	4
SNX31	8	21
SNX32	11	10
SNX33	15	12
SNX4	3	5
SNX5	20	6
SNX6	14	4
SNX7	1	9
SNX8	7	10
SNX9	6	11
SOAT1	1	16
SOAT2	12	22
SOBP	6	5
SOCS1	16	1
SOCS2	12	1
SOCS4	14	9
SOCS5	2	4
SOCS6	18	8
SOCS7	17	3
SOD1	21	2
SOD2	6	6
SOD3	4	3
SOGA1	20	28
SOGA2	18	57
SOGA3	6	4
SOHLH1	9	18
SOHLH2	13	13
SOLH	16	16
SON	21	56
SORBS1	10	35
SORBS2	4	20
SORBS3	8	29
SORCS1	10	26
SORCS2	4	33
SORCS3	10	20
SORD	15	3
SORL1	11	51
SORT1	1	13
SOS1	2	24
SOS2	14	25
SOST	17	3
SOSTDC1	7	7
SOWAHA	5	4
SOWAHB	4	14
SOWAHC	2	3
SOWAHD	X	1
SOX1	13	1
SOX10	22	3
SOX11	2	2
SOX13	1	15
SOX14	3	3
SOX17	8	1
SOX2	3	1
SOX3	X	3
SOX30	5	23
SOX4	6	3
SOX5	12	5
SOX6	11	6
SOX7	8	11
SOX8	16	1
SOX9	17	2
SP1	12	9
SP100	2	20
SP110	2	27
SP140	2	23
SP140L	2	17
SP2	17	9
SP3	2	7
SP4	7	7
SP5	2	1
SP6	17	1
SP7	12	7
SP8	7	4
SPA17	11	5
SPACA1	6	4
SPACA3	17	16
SPACA4	19	3
SPACA7	13	13
SPAG1	8	20
SPAG11A	8	1
SPAG11B	8	3
SPAG16	2	23
SPAG17	1	79
SPAG4	20	13
SPAG5	17	30
SPAG6	10	11
SPAG7	17	3
SPAG8	9	21
SPAG9	17	25
SPAM1	7	19
SPANXD	X	2
SPANXN1	X	3
SPANXN2	X	5
SPANXN3	X	4
SPANXN4	X	3
SPARC	5	7
SPARCL1	4	27
SPAST	2	12
SPATA1	1	1
SPATA12	3	7
SPATA13	13	32
SPATA16	3	26
SPATA17	1	16
SPATA18	4	31
SPATA19	11	10
SPATA2	20	13
SPATA20	17	31
SPATA21	1	19
SPATA22	17	17
SPATA24	5	1
SPATA25	20	7
SPATA2L	16	9
SPATA3	2	6
SPATA4	4	9
SPATA5	4	25
SPATA5L1	15	16
SPATA6	1	16
SPATA6L	9	25
SPATA7	14	24
SPATA8	15	8
SPATA9	5	12
SPATC1	8	27
SPATS1	6	12
SPATS2	12	17
SPATS2L	2	10
SPC24	19	1
SPC25	2	5
SPCS1	3	5
SPCS2	11	1
SPCS3	4	1
SPDEF	6	14
SPDYA	2	7
SPDYC	11	7
SPDYE4	17	5
SPECC1	17	29
SPECC1L	22	31
SPEF1	20	5
SPEF2	5	72
SPEG	2	63
SPEM1	17	15
SPEN	1	69
SPERT	13	10
SPESP1	15	7
SPG11	15	68
SPG20	13	11
SPG21	15	3
SPG7	16	31
SPHAR	1	2
SPHK1	17	10
SPHK2	19	20
SPHKAP	2	42
SPI1	11	2
SPIB	19	3
SPIC	12	3
SPICE1	3	25
SPIN3	X	1
SPINK1	5	8
SPINK13	5	6
SPINK14	5	3
SPINK4	9	6
SPINK5	5	46
SPINK6	5	4
SPINK7	5	5
SPINK8	3	4
SPINK9	5	2
SPINLW1-WFDC6	20	8
SPINT1	15	22
SPINT2	19	9
SPINT3	20	5
SPINT4	20	6
SPIRE1	18	11
SPIRE2	16	18
SPN	16	11
SPNS1	16	9
SPNS2	17	13
SPNS3	17	28
SPO11	20	12
SPOCD1	1	30
SPOCK1	5	11
SPOCK2	10	18
SPOCK3	4	9
SPON1	11	1
SPON2	4	9
SPOPL	2	7
SPP1	4	15
SPP2	2	8
SPPL2A	15	14
SPPL2B	19	2
SPPL2C	17	50
SPPL3	12	3
SPR	2	5
SPRED1	15	9
SPRED2	2	11
SPRED3	19	2
SPRR1A	1	2
SPRR1B	1	2
SPRR2G	1	5
SPRR3	1	11
SPRR4	1	5
SPRTN	1	9
SPRY1	4	7
SPRY2	13	4
SPRY3	X	1
SPRY4	5	11
SPRYD4	12	4
SPRYD7	13	1
SPSB1	1	1
SPSB2	12	4
SPSB3	16	11
SPSB4	3	3
SPTA1	1	127
SPTAN1	9	29
SPTB	14	84
SPTBN1	2	20
SPTBN2	11	45
SPTBN4	19	24
SPTBN5	15	121
SPTLC1	9	8
SPTLC2	14	4
SPTLC3	20	10
SPTSSB	3	1
SPTY2D1	11	18
SPZ1	5	13
SQLE	8	8
SQRDL	15	11
SQSTM1	5	14
SRA1	5	36
SRBD1	2	40
SRC	20	3
SRCAP	16	51
SRCIN1	17	11
SRCRB4D	7	14
SRD5A1	5	5
SRD5A2	2	3
SRD5A3	4	4
SREBF1	17	16
SREBF2	22	24
SREK1	5	8
SREK1IP1	5	1
SRF	6	2
SRFBP1	5	23
SRGAP1	12	21
SRGAP2	1	6
SRGAP3	3	10
SRGN	10	5
SRI	7	7
SRL	16	8
SRM	1	2
SRMS	20	26
SRP14	15	2
SRP19	5	3
SRP54	14	2
SRP68	17	9
SRP72	4	13
SRPK1	6	18
SRPK2	7	4
SRPK3	X	5
SRPR	11	11
SRPRB	3	9
SRPX	X	18
SRPX2	X	10
SRR	17	5
SRRD	22	11
SRRM1	1	5
SRRM2	16	85
SRRM3	7	1
SRRM4	12	17
SRRM5	19	16
SRRT	7	12
SRSF11	1	4
SRSF12	6	6
SRSF2	17	1
SRSF4	1	7
SRSF5	14	7
SRSF6	20	6
SRSF7	2	3
SRSF9	12	2
SRXN1	20	1
SS18	18	6
SS18L1	20	7
SSB	2	3
SSBP1	7	5
SSBP2	5	7
SSBP3	1	3
SSBP4	19	3
SSC5D	19	23
SSFA2	2	46
SSH1	12	25
SSH2	17	26
SSH3	11	20
SSPN	12	8
SSPO	7	15
SSR1	6	4
SSR2	1	1
SSRP1	11	7
SSSCA1	11	6
SST	3	4
SSTR1	14	5
SSTR2	17	5
SSTR3	22	13
SSTR4	20	6
SSTR5	16	15
SSU72	1	1
SSX1	X	3
SSX2IP	1	9
SSX3	X	2
SSX5	X	8
SSX6	X	7
SSX7	X	2
SSX9	X	2
ST13	22	3
ST14	11	21
ST18	8	28
ST20	15	2
ST3GAL1	8	6
ST3GAL2	16	3
ST3GAL3	1	9
ST3GAL4	11	9
ST3GAL5	2	8
ST3GAL6	3	7
ST5	11	19
ST6GAL1	3	5
ST6GAL2	2	16
ST6GALNAC1	17	19
ST6GALNAC2	17	19
ST6GALNAC3	1	12
ST6GALNAC4	9	3
ST6GALNAC5	1	3
ST6GALNAC6	9	8
ST7	7	9
ST7L	1	27
ST8SIA1	12	6
ST8SIA2	15	8
ST8SIA3	18	3
ST8SIA4	5	5
ST8SIA5	18	9
ST8SIA6	10	11
STAB1	3	76
STAB2	12	113
STAC	3	13
STAC2	17	12
STAC3	12	7
STAG1	3	4
STAG2	X	4
STAG3	7	25
STAG3L4	7	1
STAM	10	9
STAM2	2	8
STAMBP	2	12
STAMBPL1	10	9
STAP1	4	8
STAP2	19	16
STAR	8	6
STARD10	11	6
STARD13	13	44
STARD3	17	15
STARD3NL	7	3
STARD4	5	9
STARD5	15	11
STARD6	18	10
STARD7	2	8
STARD8	X	37
STARD9	15	62
STAT1	2	5
STAT2	12	13
STAT3	17	4
STAT4	2	5
STAT5A	17	6
STAT5B	17	4
STAT6	12	9
STATH	4	5
STAU1	20	7
STAU2	8	8
STBD1	4	12
STC1	8	1
STC2	5	9
STEAP1	7	7
STEAP1B	7	7
STEAP2	7	12
STEAP3	2	31
STEAP4	7	11
STH	17	7
STIL	1	31
STIM1	11	11
STIM2	4	9
STIP1	11	5
STK10	5	30
STK11	19	115
STK11IP	2	32
STK16	2	4
STK17A	7	12
STK17B	2	2
STK19	6	7
STK24	13	7
STK25	2	3
STK3	8	11
STK31	7	40
STK32A	5	14
STK32B	4	13
STK32C	10	6
STK33	11	15
STK36	2	37
STK38	6	5
STK38L	12	2
STK39	2	4
STK4	20	11
STK40	1	9
STMN1	1	2
STMN2	8	1
STMN4	8	2
STOM	9	5
STOML1	15	8
STOML2	9	5
STOML3	13	16
STON1	2	31
STON1-GTF2A1L	2	48
STON2	14	35
STOX1	10	35
STOX2	4	17
STPG1	1	17
STPG2	4	17
STRA13	17	3
STRA6	15	30
STRA8	7	5
STRADA	17	10
STRADB	2	5
STRAP	12	9
STRBP	9	6
STRC	15	7
STRN	2	14
STRN3	14	12
STRN4	19	12
STS	X	12
STT3A	11	6
STT3B	3	5
STUB1	16	4
STX10	19	5
STX11	6	10
STX12	1	4
STX16	20	7
STX16-NPEPL1	20	6
STX17	9	9
STX18	4	5
STX19	3	7
STX1A	7	2
STX1B	16	1
STX2	12	12
STX3	11	13
STX4	16	3
STX5	11	9
STX6	1	4
STX7	6	3
STX8	17	9
STXBP1	9	5
STXBP2	19	21
STXBP3	1	8
STXBP4	17	16
STXBP5	6	10
STXBP5L	3	18
STYK1	12	17
STYX	14	4
STYXL1	7	12
SUCLA2	13	9
SUCLG1	2	8
SUCLG2	3	15
SUCNR1	3	11
SUCO	1	16
SUFU	10	8
SUGP1	19	10
SUGP2	19	32
SUGT1	13	5
SULF1	8	21
SULF2	20	26
SULT1A1	16	3
SULT1A2	16	5
SULT1B1	4	20
SULT1C2	2	17
SULT1C3	2	19
SULT1C4	2	9
SULT1E1	4	5
SULT2A1	19	7
SULT2B1	19	14
SULT6B1	2	16
SUMF1	3	13
SUMF2	7	17
SUMO3	21	1
SUMO4	6	7
SUN1	7	32
SUN2	22	37
SUN3	7	17
SUN5	20	19
SUOX	12	16
SUPT16H	14	6
SUPT3H	6	19
SUPT4H1	17	2
SUPT5H	19	3
SUPT6H	17	13
SUPT7L	2	12
SUPV3L1	10	14
SURF1	9	9
SURF2	9	16
SURF4	9	3
SURF6	9	22
SUSD1	9	24
SUSD2	22	29
SUSD3	9	13
SUSD4	1	12
SUSD5	3	22
SUV39H1	X	2
SUV39H2	10	2
SUV420H1	11	15
SUV420H2	19	5
SUZ12	17	5
SV2A	1	7
SV2B	15	21
SV2C	5	20
SVEP1	9	105
SVIL	10	55
SVIP	11	1
SVOP	12	3
SVOPL	7	31
SWAP70	11	4
SWI5	9	11
SWSAP1	19	4
SWT1	1	25
SYAP1	X	5
SYBU	8	14
SYCE1	10	24
SYCE1L	16	5
SYCE2	19	6
SYCE3	22	3
SYCN	19	2
SYCP1	1	17
SYCP2	20	48
SYCP2L	6	25
SYCP3	12	7
SYDE1	19	5
SYDE2	1	33
SYF2	1	5
SYK	9	8
SYMPK	19	15
SYN1	X	2
SYN2	3	4
SYN3	22	17
SYNC	1	9
SYNCRIP	6	3
SYNDIG1	20	9
SYNDIG1L	14	7
SYNE1	6	270
SYNE2	14	227
SYNE3	14	43
SYNE4	19	11
SYNGAP1	6	7
SYNGR1	22	12
